k_pos,k_neg,min_spacing,dilation_kernel,global_thr,rice_segf1_global,rice_segf1_cls,fabric_segf1_global,fabric_segf1_cls,vial_segf1_global,vial_segf1_cls,walnuts_segf1_global,walnuts_segf1_cls,mean_segf1_global,mean_segf1_cls,n_valid_categories,trial_idx,elapsed_s,sam_version
7,3,10,25,0.382710337638855,0.2282617647543279,0.47550609061431953,0.014450917065328025,0.02623856160734831,0.21121806138873983,0.41225600882194086,0.5153617252831452,0.5777698934286528,0.24232311712288523,0.37294263861806537,4,0,1567.9,sam3
2,5,20,25,0.36649078130722046,0.3720147230861415,0.5166323788967208,0.02437287085785073,0.027188955761841615,0.31543351151535015,0.387817655215465,0.42503493371115303,0.5430879206994456,0.28421400979262385,0.36868172764336826,4,1,1571.7,sam3
2,2,30,25,0.3823235332965851,0.3070949294081331,0.5325390378192978,0.11288453275791817,0.1146385526146191,0.19903702079450356,0.3510222505257338,0.5444718573446816,0.6020601967870427,0.29087208507630913,0.40006500943667334,4,2,1569.4,sam3
7,7,10,50,0.37236157059669495,0.29592156511617496,0.48632787027778984,0.016401036695672316,0.020781761951975414,0.2852964162346569,0.4222705363670688,0.42754321654764166,0.5515081623431343,0.25629055864853645,0.3702220827349921,4,3,1574.9,sam3
3,3,45,10,0.3830578327178955,0.3402681606445927,0.5570778044361749,0.30556769801016775,0.3113238357198325,0.2694809421886148,0.3367584073879916,0.5677990981799033,0.6441545400804931,0.3707789747558196,0.4623286469061231,4,4,1572.9,sam3
3,3,10,10,0.3809930682182312,0.26861208327171754,0.5370854138421348,0.015123068201061707,0.02398532031305036,0.23399299516659636,0.4001574658333239,0.4366681692012051,0.4878302345048119,0.23859907896014518,0.3622646086233302,4,5,1578.5,sam3
3,2,30,50,0.3904561996459961,0.298943261258332,0.561872295255981,0.01750343570745698,0.0293444039950283,0.23222457973664154,0.3656297896056848,0.5360302616370705,0.5725945260441068,0.2711753845848752,0.3823602537252002,4,6,1589.3,sam3
2,5,60,15,0.36507540941238403,0.34990095443904196,0.40623606883111923,0.5687509020639222,0.5718956361117524,0.3185536798900603,0.33890156736906735,0.46382052998168566,0.6073617238475769,0.4252565165936776,0.48109874903987904,4,7,1584.0,sam3
7,7,10,25,0.3666541278362274,0.30732993892892907,0.4714579681426721,0.017708041468198373,0.0247935256552883,0.31460370636032386,0.4084598385269191,0.3978600852884262,0.5416416239260826,0.25937544301146936,0.3615882390627405,4,8,1570.3,sam3
2,5,10,25,0.37239059805870056,0.3099292930905144,0.4819079155239311,0.01578198380885365,0.01917679271405554,0.2299532008332376,0.364722928440045,0.41824755217727394,0.5111852416099744,0.2434780074774699,0.34424821957200147,4,9,1588.9,sam3
7,3,60,15,0.3957606256008148,0.23508609841183872,0.47647662054944856,0.23838069506135692,0.24268480085679733,0.19917439578930207,0.34340001038888296,0.6254145875041085,0.6833967474685486,0.3245139441916516,0.4364895448159194,4,10,1595.5,sam3
10,5,20,15,0.39537298679351807,0.2840717152464631,0.5192628375939075,0.1478150964506972,0.16177691722671467,0.1872289355093012,0.33858618992171,0.6410514621846053,0.6868706814545261,0.3150418023477667,0.4266241565492146,4,11,1581.6,sam3
